,time,driverWellbeing,driverRush,rainIntensity,vehicleSpeed
0,115.08,0,5,0,8
1,127.8,3,5,3,9
2,2202.8,3,5,3,8
3,190.71,1,5,1,9
4,1314.5,3,5,3,9
5,280.11,3,5,3,9
6,849.05,3,3,3,8
7,1919.8,0,3,0,9
8,2621.3,3,5,3,9
9,2745.4,0,3,0,9
10,596.21,3,5,3,8
11,1008.1,3,5,3,9
12,1819.6,3,5,3,9
13,1005.3,1,5,1,8
14,1251.2,3,5,3,9
15,1382.0,3,5,3,9
16,1114.4,3,5,3,9
17,1300.7,3,5,3,8
18,1654.4,1,5,1,2
19,2048.7,3,5,3,8
20,0.551,0,5,0,2
21,790.47,3,5,3,9
22,1638.9,3,5,3,9
23,88.057,3,5,3,9
24,238.37,1,5,1,9
25,1395.1,3,5,3,9
26,1277.7,3,5,3,9
27,14.696,3,5,3,9
28,1290.4,2,5,2,9
29,1349.5,3,3,3,9
30,1573.9,3,5,3,8
31,1903.8,2,5,2,9
32,1651.2,3,5,3,9
33,1670.7,3,5,3,9
34,1671.3,3,5,3,9
35,2375.7,0,3,0,9
36,678.73,3,5,3,9
37,1174.9,3,5,3,9
38,1184.3,3,5,3,9
39,1195.1,3,5,3,9
40,468.06,3,5,3,8
41,468.99,3,3,3,8
42,711.2,3,5,3,9
43,767.46,3,5,3,8
44,1412.0,3,5,3,9
45,1776.3,3,5,3,9
46,1084.1,3,5,3,9
47,1092.9,3,5,3,8
48,1565.0,0,3,0,8
49,2781.2,3,5,3,9
50,3029.8,0,3,0,9
51,3154.0,3,5,3,9
52,114.46,0,5,0,8
53,230.1,3,5,3,9
54,309.16,3,5,3,9
55,453.32,3,5,3,9
56,798.73,0,3,0,8
57,947.25,3,5,3,9
58,106.03,1,5,1,9
59,865.32,2,5,2,9
60,1510.5,2,5,2,9
61,1895.8,0,3,0,9
62,2566.9,3,5,3,8
63,11.354,3,5,3,9
64,24.147,3,5,3,8
65,824.62,1,5,1,2
66,1264.5,3,5,3,9
67,526.66,3,5,3,9
68,859.17,0,3,0,9
69,1954.3,3,5,3,8
70,2252.2,3,5,3,8
71,2260.8,3,5,3,8
72,692.96,1,3,1,8
73,44.208,3,3,3,8
74,335.28,3,5,3,8
75,934.35,3,5,3,8
76,951.79,3,5,3,9
77,1098.4,3,5,3,9
78,1111.8,3,5,3,8
79,1398.9,3,5,3,9
80,1829.8,3,5,3,8
81,140.47,3,5,3,9
82,820.29,3,5,3,9
83,2574.3,2,5,2,9
84,3796.6,3,5,3,9
85,332.99,3,5,3,8
86,2151.3,3,5,3,8
87,2699.2,2,5,2,9
88,141.29,3,3,3,8
89,178.98,3,5,3,9
